file	nuc_num	celltype	area	dapi_intensity	a647_intensity	a488_intensity
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	26	NES	24659	1882435741.000000	263762771.000000	535351733.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	27	NES	25035	2077115204.000000	275654962.000000	545894358.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	28	NES	18166	1580972190.000000	197346278.000000	450488315.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	29	NES	22971	1928582955.000000	271416111.000000	571782937.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	30	NES	30785	3472586168.000000	428140104.000000	794070596.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	31	NES	15134	1648451132.000000	171852299.000000	428870500.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	32	NES	29558	2060082427.000000	329657102.000000	607761736.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	33	NES	34329	3670418116.000000	398003096.000000	835356756.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	34	NES	29624	2472741489.000000	364383242.000000	650643554.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	35	NES	20999	1810792682.000000	238665912.000000	509008935.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	36	NES	32274	2179833365.000000	373475912.000000	719562378.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	37	NES	26050	1778368367.000000	290609545.000000	462628954.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	38	NES	27250	2820792302.000000	320854323.000000	628832928.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	39	NES	26433	1953795277.000000	282521122.000000	499497307.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	1	NES	27711	2094549087.000000	298000629.000000	566441581.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	2	NES	19988	1361560959.000000	208233330.000000	371093708.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	3	NES	34324	2836206617.000000	387958673.000000	686896567.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	4	NES	39738	3537740306.000000	424644639.000000	626264193.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	5	NES	25158	1716348249.000000	263834142.000000	455858984.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	6	NES	20752	1497098440.000000	218242305.000000	430950259.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	7	NES	23885	1534014061.000000	247724208.000000	417421679.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	8	NES	28090	1635840632.000000	293353250.000000	516943916.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	9	NES	22190	1604815239.000000	231214774.000000	461989898.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	10	NES	27110	1655687730.000000	277469827.000000	361967058.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	11	NES	29028	1786809840.000000	300714174.000000	550560902.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	12	NES	36686	2459056423.000000	402662083.000000	637028209.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_005/dw_dapi_001.tiff	13	NES	19964	1660302431.000000	206269962.000000	437806846.000000
